Razao Social,Fundo,Codigo
MALLS BRASIL PLURAL FDO INV IMOB,FII MALLS BP,MALL
MANATI CAPITAL HEDGE FUND FDO INV IMOB,FII MANATI,MANA
MARESIAS FUNDO DE INVESTIMENTO IMOBILIARIO,FII MMVE OP,MMVE
MAUA CAPITAL REAL ESTATE FDO DE INV IMOB,FII MAUA HY,MCHY
MAXI RENDA FDO INV IMOB - FII,FII MAXI REN,MXRF
MERITO CEMITERIOS FII - FDO DE INV IMOB,FII MCEM,MCEM
MERITO DESENVOLVIMENTO IMOBILIARIO I FII - FII,FII MERITO I,MFII
MERITO FDO. AÇÕES IMOB. FII - FDO INV. IMOB.,FII MERITOFA,MFAI
MERITO RECEBIVEIS IMOBILIARIOS FII - FDO INV IMOB,FII MERITO R,MFCR
MOGNO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIARIO,FII MGRI,MGRI
MULTI SHOPPINGS FDO INV IMOB - FII,FII MULTSHOP,SHOP
